Artist,Song,Popularity
Tame Impala,The Less I Know the Better,83
Mitski,Washing Machine Heart,81
Mac DeMarco,Chamber of Reflection,80
Clairo,Sofia,77
Alex G,Sarah,72
MGMT,Time to Pretend,72
Fleet Foxes,White Winter Hymnal,70
The Shins,New Slang,69
Bon Iver,Holocene,67
Grizzly Bear,Two Weeks,66
Lucy Dacus,Night Shift,65
The War on Drugs,Red Eyes,64
Neutral Milk Hotel,In the Aeroplane Over the Sea,63
Phoebe Bridgers,Kyoto,63
Big Thief,Paul,63
Iron & Wine,Naked as We Came,63
Death Cab for Cutie,I Will Follow You Into the Dark,62
The National,I Need My Girl,61
Arcade Fire,Wake Up,60
Sufjan Stevens,Should Have Known Better,59
Beach Fossils,Down the Line,58
Alvvays,"Archie, Marry Me",58
Father John Misty,Chateau Lobby #4,55
Sharon Van Etten,Seventeen,55
Vampire Weekend,Step,54
Japanese Breakfast,Road Head,51
Soccer Mommy,Circle the Drain,51
Bombay Bicycle Club,Luna,51
Angel Olsen,Shut Up Kiss Me,50
Snail Mail,Pristine,49
DIIV,Under the Sun,47
Real Estate,Darling,47
King Krule,Easy Easy,45